Amostra	Fazenda	Viveiro	Período	Temp	OD(mg/L)	Salinidade(psu)	pH	Alcalinidade(mg/L de CaCO3)	Clorofila(?g/L)	SST(mg/L)	Ntotal(mg/L)	Namoniacal(mg/L)	Nitrito(mg/L)	Nitrato(mg/L)	Ortofosfato(mg/L)	Ptotal(mg/L)	MO(%)	Corganico(mg/g)	Ntotal(mg/g)	Tamanho A	Tamanho B	Tamanho C	Peso A	Peso B	Peso C	Nauplio/l	Rotifero/l	Cladocero/l	Calanoida/l	Ciclopoida/l	zoo total	Inseto/l	Ostracoda/l
T11	Tahin	1	30 dias	31.1	6.9	1.5	8.51	197	70.7	73.01	1.04	0.14	0.10	0.36	0.02	0.07	5.97	61.12	0.61	7.2	7.8	7.4	2.02	3.16	2.65	43.41	1.63	13.21	0.25	24.30	82.79	0.32	0.07
T21	Tahin	2	30 dias	32.1	8.2	1.6	8.70	189	63.5	82.41	1.50	0.27	0.10	0.82	0.02	0.10	6.66	51.35	0.52	5.8	5.2	5.5	1.04	0.69	0.82	73.13	78.56	91.06	0.07	63.46	306.28	0.00	0.00
T31	Tahin	3	30 dias	32.3	11.8	1.2	8.99	162	47.962	77.26	1.70	0.48	0.10	0.81	0.02	0.07	5.12	44.02	0.47	6.5	6.2	6.4	1.58	1.43	1.89	66.81	16.53	15.06	7.78	14.44	120.62	0.23	0.00
T41	Tahin	4	30 dias	32.2	5.9	3.0	8.01	241	26.379	95.19	1.62	0.68	0.10	0.34	0.05	0.10	7.79	37.16	0.11	7.4	7.9	6	2.91	3.04	1.54	133.62	6.34	102.36	0.00	0.68	243.00	0.79	0.00
B11	Bern	1	30 dias	32.8	10.8	1	8.80	241	101.9	85.28	1.06	0.05	0.10	0.65	0.05	0.34	11.52	54.37	0.69	8.2	6.1	7.5	3.47	1.67	2.99	31.7	0.1	0.1	0.5	0.1	32.41	0.0	0.0
B21	Bern	2	30 dias	32.0	6.3	0.8	8.20	444	25.18	105.51	0.87	0.14	0.10	0.59	0.04	0.16	11.55	51.02	0.43	7.5	6.7	7.1	2.68	1.97	2.38	33.44	0.86	1.42	1.24	0.02	36.97	0.07	0.00
B31	Bern	3	30 dias	33.6	7.4	1.1	8.48	153	73.141	78.74	1.13	0.05	0.10	0.86	0.09	0.26	18.91	96.08	0.49	7.2	7.2	6	2.41	2.56	1.34	37.14	12.23	6.34	1.20	0.02	56.93	0.00	0.00
B41	Bern	4	30 dias	32.3	5.2	1.1	8.11	151	40.767	14.79	0.69	0.05	0.10	0.55	0.02	0.24	11.16	55.75	0.46	6.5	5.7	5.6	1.95	1.29	1.28	25.82	0.16	2.94	8.76	1.75	39.42	0.03	0.00
T12	Tahin	1	60 dias	34.3	10.2	1.5	8.50	169	80.3	63.69	1.52	0.41	0.10	0.97	0.02	0.09	6.36	56.08	0.51	10.3	12	10.3	5.98	9.75	6.19	11.32	3.93	0.00	0.00	1.18	16.43	0.09	0.00
T22	Tahin	2	60 dias	34.3	11.2	1.5	8.24	159	160.671	70.67	1.81	0.75	0.10	0.37	0.02	0.13	4.32	39.31	0.38	10.7	11	11.3	8.21	8.07	6.87	47.94	100.21	0.23	0.00	2.57	150.95	3.00	0.11
T32	Tahin	3	60 dias	32.9	8.7	1.8	8.62	182	77.938	70.63	0.96	0.27	0.10	0.28	0.02	0.13	9.96	41.70	0.49	11	10.5	9.8	8.9	6.6	5.31	123.65	59.49	0.53	0.15	0.84	184.66	0.03	0.00
T42	Tahin	4	60 dias	32.7	7.9	3.1	8.85	190	131.894	85.92	1.79	0.41	0.10	0.83	0.02	0.13	1.52	31.21	0.52	10.5	10.3	10.8	7.11	6.1	8.91	131.05	7.70	0.06	0.06	3.24	142.11	0.60	0.12
B12	Bern	1	60 dias	33.5	7.2	0.9	8.97	212	277.0	107.66	0.93	0.14	0.10	0.52	0.08	0.29	5.90	40.22	0.34	9	9.2	7.5	5.35	5.23	3.7	10.81	1.80	0.00	2.98	0.00	15.59	0.00	0.08
B22	Bern	2	60 dias	30.9	6.00	0.8	8.60	190	196.643	83.87	0.99	0.27	0.10	0.58	0.09	0.26	10.25	52.11	0.42	9.6	9.9	10.8	6.05	6.44	8.65	8.71	8.31	0.00	0.71	0.94	18.68	0.55	0.08
B32	Bern	3	60 dias	31.7	5.7	1.2	8.25	125	86.331	70.10	1.25	0.27	0.10	0.57	0.02	0.28	7.90	71.67	0.5	8.6	10.1	9.5	4.36	6.78	6.23	14.12	9.51	0.70	0.82	0.00	25.14	0.00	0.00
B42	Bern	4	60 dias	30.8	6.9	0.6	7.76	126	140.288	66.42	1.17	0.14	0.10	0.56	0.02	0.23	7.95	44.90	0.42	11.1	9.7	9.2	8.39	5.19	4.73	26.19	4.83	1.81	1.03	0.04	33.91	0.00	0.00
