source,d13C,d15N
seston,-6.88,5.51
seston,-9.34,6.57
seston,-11.61,5.97
seston,-13.37,4.09
seston,-15.18,4.39
seston,-10.98,3.9
seston,-7.23,3.08
seston,-10.3,4.16
sedimento,-24.7,5.49
sedimento,-21.85,5.93
sedimento,-24.51,5.8
sedimento,-21.91,6.28
sedimento,-23.72,4.8
sedimento,-23.97,4.97
sedimento,-25.83,4.01
sedimento,-24.83,4.06
ração,-22.73,7.42
ração,-22.53,6.99
ração,-22.63,6.1
ração,-22.16,4.27
ração,-22.58,4.36
ração,-22.48,4.33
ração,-22.51,6.29
ração,-22.51,6.34
ração,-22.41,3.04
